Date,Store,Product_Category,Region,Sales,Quantity
2023-01-01,Store_A,Electronics,East,1288.12,4
2023-01-01,Store_A,Clothing,West,806.69,5
2023-01-01,Store_A,Home & Garden,North,460.7,3
2023-01-01,Store_A,Sports,East,494.68,6
2023-01-01,Store_A,Food & Beverages,East,784.39,3
2023-01-01,Store_B,Electronics,West,1000.17,3
2023-01-01,Store_B,Clothing,West,534.3,3
2023-01-01,Store_B,Home & Garden,West,442.64,3
2023-01-01,Store_B,Sports,West,288.96,3
2023-01-01,Store_B,Food & Beverages,East,808.56,3
2023-01-01,Store_C,Electronics,South,831.46,2
2023-01-01,Store_C,Clothing,South,449.47,2
2023-01-01,Store_C,Home & Garden,East,352.99,2
2023-01-01,Store_C,Sports,North,229.2,2
2023-01-01,Store_C,Food & Beverages,East,734.44,3
2023-01-02,Store_A,Electronics,North,1930.28,6
2023-01-02,Store_A,Clothing,East,636.97,3
2023-01-02,Store_A,Home & Garden,South,801.66,6
2023-01-02,Store_A,Sports,North,406.18,5
2023-01-02,Store_A,Food & Beverages,West,1212.52,5
2023-01-02,Store_B,Electronics,East,1543.79,5
2023-01-02,Store_B,Clothing,East,743.4,4
2023-01-02,Store_B,Home & Garden,South,433.5,3
2023-01-02,Store_B,Sports,West,330.4,4
2023-01-02,Store_B,Food & Beverages,South,837.73,3
2023-01-02,Store_C,Electronics,West,1000.07,3
2023-01-02,Store_C,Clothing,South,379.17,2
2023-01-02,Store_C,Home & Garden,West,356.26,2
2023-01-02,Store_C,Sports,South,243.28,3
2023-01-02,Store_C,Food & Beverages,South,995.42,4
2023-01-03,Store_A,Electronics,East,1861.29,6
2023-01-03,Store_A,Clothing,North,918.7,5
2023-01-03,Store_A,Home & Garden,West,713.53,5
2023-01-03,Store_A,Sports,West,570.29,7
2023-01-03,Store_A,Food & Beverages,South,1392.65,5
2023-01-03,Store_B,Electronics,North,1402.98,4
2023-01-03,Store_B,Clothing,North,614.93,3
2023-01-03,Store_B,Home & Garden,North,487.34,4
2023-01-03,Store_B,Sports,East,252.96,3
2023-01-03,Store_B,Food & Beverages,West,839.5,3
2023-01-03,Store_C,Electronics,West,1203.4,4
2023-01-03,Store_C,Clothing,East,620.46,3
2023-01-03,Store_C,Home & Garden,North,435.81,3
2023-01-03,Store_C,Sports,West,306.82,3
2023-01-03,Store_C,Food & Beverages,East,823.49,3
2023-01-04,Store_A,Electronics,North,2015.81,6
2023-01-04,Store_A,Clothing,West,1116.86,6
2023-01-04,Store_A,Home & Garden,North,570.68,4
2023-01-04,Store_A,Sports,East,349.55,4
2023-01-04,Store_A,Food & Beverages,East,1504.17,6
2023-01-04,Store_B,Electronics,North,1384.72,4
2023-01-04,Store_B,Clothing,East,695.43,4
2023-01-04,Store_B,Home & Garden,North,454.05,3
2023-01-04,Store_B,Sports,South,393.41,4
2023-01-04,Store_B,Food & Beverages,East,1032.16,4
2023-01-04,Store_C,Electronics,East,903.06,3
2023-01-04,Store_C,Clothing,East,558.15,3
2023-01-04,Store_C,Home & Garden,North,483.3,4
2023-01-04,Store_C,Sports,West,248.57,3
2023-01-04,Store_C,Food & Beverages,East,898.52,3
2023-01-05,Store_A,Electronics,North,1350.85,4
2023-01-05,Store_A,Clothing,North,941.33,5
2023-01-05,Store_A,Home & Garden,West,853.5,7
2023-01-05,Store_A,Sports,West,514.14,6
2023-01-05,Store_A,Food & Beverages,South,1070.72,4
2023-01-05,Store_B,Electronics,North,1496.74,4
2023-01-05,Store_B,Clothing,South,547.46,3
2023-01-05,Store_B,Home & Garden,West,509.88,4
2023-01-05,Store_B,Sports,South,333.83,4
2023-01-05,Store_B,Food & Beverages,East,1174.92,4
2023-01-05,Store_C,Electronics,West,1170.69,3
2023-01-05,Store_C,Clothing,North,541.59,3
2023-01-05,Store_C,Home & Garden,North,336.9,2
2023-01-05,Store_C,Sports,South,238.55,2
2023-01-05,Store_C,Food & Beverages,West,678.8,2
2023-01-06,Store_A,Electronics,North,2473.7,8
2023-01-06,Store_A,Clothing,East,790.69,4
2023-01-06,Store_A,Home & Garden,East,602.25,5
2023-01-06,Store_A,Sports,South,478.28,5
2023-01-06,Store_A,Food & Beverages,West,1072.46,4
2023-01-06,Store_B,Electronics,North,1316.93,4
2023-01-06,Store_B,Clothing,West,701.11,4
2023-01-06,Store_B,Home & Garden,South,614.07,5
2023-01-06,Store_B,Sports,North,405.06,5
2023-01-06,Store_B,Food & Beverages,North,1045.8,4
2023-01-06,Store_C,Electronics,East,1110.63,3
2023-01-06,Store_C,Clothing,North,667.7,4
2023-01-06,Store_C,Home & Garden,South,332.02,2
2023-01-06,Store_C,Sports,South,176.05,2
2023-01-06,Store_C,Food & Beverages,South,1032.39,4
2023-01-07,Store_A,Electronics,West,1243.39,4
2023-01-07,Store_A,Clothing,West,767.74,4
2023-01-07,Store_A,Home & Garden,East,622.91,5
2023-01-07,Store_A,Sports,North,339.63,4
2023-01-07,Store_A,Food & Beverages,West,1115.55,4
2023-01-07,Store_B,Electronics,East,1115.14,3
2023-01-07,Store_B,Clothing,West,537.74,3
2023-01-07,Store_B,Home & Garden,East,456.51,3
2023-01-07,Store_B,Sports,South,322.11,4
2023-01-07,Store_B,Food & Beverages,West,919.92,3
2023-01-07,Store_C,Electronics,East,957.07,3
2023-01-07,Store_C,Clothing,East,395.03,2
2023-01-07,Store_C,Home & Garden,East,308.26,2
2023-01-07,Store_C,Sports,North,221.07,2
2023-01-07,Store_C,Food & Beverages,North,735.58,3
2023-01-08,Store_A,Electronics,West,883.88,2
2023-01-08,Store_A,Clothing,North,880.13,5
2023-01-08,Store_A,Home & Garden,South,635.17,5
2023-01-08,Store_A,Sports,East,479.55,5
2023-01-08,Store_A,Food & Beverages,East,1189.98,4
2023-01-08,Store_B,Electronics,West,802.89,2
2023-01-08,Store_B,Clothing,North,586.28,3
2023-01-08,Store_B,Home & Garden,West,436.07,3
2023-01-08,Store_B,Sports,West,309.67,3
2023-01-08,Store_B,Food & Beverages,East,786.06,3
2023-01-08,Store_C,Electronics,East,754.28,2
2023-01-08,Store_C,Clothing,West,468.31,2
2023-01-08,Store_C,Home & Garden,South,351.08,2
2023-01-08,Store_C,Sports,West,259.91,3
2023-01-08,Store_C,Food & Beverages,West,876.64,3
2023-01-09,Store_A,Electronics,South,1462.36,4
2023-01-09,Store_A,Clothing,South,765.02,4
2023-01-09,Store_A,Home & Garden,South,701.91,5
2023-01-09,Store_A,Sports,West,456.52,5
2023-01-09,Store_A,Food & Beverages,North,1371.8,5
2023-01-09,Store_B,Electronics,West,1244.1,4
2023-01-09,Store_B,Clothing,West,845.84,5
2023-01-09,Store_B,Home & Garden,East,469.82,3
2023-01-09,Store_B,Sports,North,374.08,4
2023-01-09,Store_B,Food & Beverages,East,757.17,3
2023-01-09,Store_C,Electronics,East,847.14,2
2023-01-09,Store_C,Clothing,South,624.06,3
2023-01-09,Store_C,Home & Garden,South,421.67,3
2023-01-09,Store_C,Sports,West,299.06,3
2023-01-09,Store_C,Food & Beverages,East,599.42,2
2023-01-10,Store_A,Electronics,North,1497.89,4
2023-01-10,Store_A,Clothing,West,1031.9,6
2023-01-10,Store_A,Home & Garden,West,727.0,6
2023-01-10,Store_A,Sports,North,648.69,8
2023-01-10,Store_A,Food & Beverages,West,1366.38,5
2023-01-10,Store_B,Electronics,North,966.92,3
2023-01-10,Store_B,Clothing,South,678.33,4
2023-01-10,Store_B,Home & Garden,East,576.01,4
2023-01-10,Store_B,Sports,East,249.34,3
2023-01-10,Store_B,Food & Beverages,East,905.6,3
2023-01-10,Store_C,Electronics,North,961.45,3
2023-01-10,Store_C,Clothing,West,367.37,2
2023-01-10,Store_C,Home & Garden,South,405.42,3
2023-01-10,Store_C,Sports,East,233.12,2
2023-01-10,Store_C,Food & Beverages,East,1020.89,4
