Date,Store,Product_Category,Region,Year,Month,Day,DayOfWeek,WeekOfYear,Quarter,IsWeekend,IsMonthStart,IsMonthEnd,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,DayOfYear,DayOfYear_sin,DayOfYear_cos,Store_Encoded,Category_Encoded,Region_Encoded,Sales_Lag_7,Sales_Lag_14,Sales_Lag_21,Sales_Lag_30,Sales_RollingMean_7,Sales_RollingMean_14,Sales_RollingMean_30,Sales_RollingStd_7,Sales_RollingStd_14,Sales_RollingStd_30,Predicted_Sales
2025-04-01,Store_A,Electronics,East,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,0,0,0,0,0,0,0,0,0,0,0,0,0,331.22308399394655
2025-04-01,Store_A,Clothing,West,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,0,1,1,0,0,0,0,0,0,0,0,0,0,332.4749318870227
2025-04-01,Store_A,Home & Garden,North,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,0,2,2,0,0,0,0,0,0,0,0,0,0,331.97804786822525
2025-04-01,Store_A,Sports,East,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,0,3,0,0,0,0,0,0,0,0,0,0,0,318.57111798559265
2025-04-01,Store_A,Food & Beverages,North,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,0,4,2,0,0,0,0,0,0,0,0,0,0,316.7324048146607
2025-04-01,Store_B,Electronics,East,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,1,0,0,0,0,0,0,0,0,0,0,0,0,329.0299723047819
2025-04-01,Store_B,Clothing,East,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,1,1,0,0,0,0,0,0,0,0,0,0,0,329.0299723047819
2025-04-01,Store_B,Home & Garden,South,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,1,2,3,0,0,0,0,0,0,0,0,0,0,329.7849361790606
2025-04-01,Store_B,Sports,North,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,1,3,2,0,0,0,0,0,0,0,0,0,0,317.62985418950416
2025-04-01,Store_B,Food & Beverages,West,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,1,4,1,0,0,0,0,0,0,0,0,0,0,314.53929312549604
2025-04-01,Store_C,Electronics,North,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,2,0,2,0,0,0,0,0,0,0,0,0,0,330.28182019785805
2025-04-01,Store_C,Clothing,East,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,2,1,0,0,0,0,0,0,0,0,0,0,0,329.0299723047819
2025-04-01,Store_C,Home & Garden,North,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,2,2,2,0,0,0,0,0,0,0,0,0,0,329.7849361790606
2025-04-01,Store_C,Sports,South,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,2,3,3,0,0,0,0,0,0,0,0,0,0,317.62985418950416
2025-04-01,Store_C,Food & Beverages,East,2025,4,1,1,14,2,0,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,91,0.9999907397361901,0.004303538296244289,2,4,0,0,0,0,0,0,0,0,0,0,0,310.678540261456
2025-04-02,Store_A,Electronics,West,2025,4,2,2,14,2,0,0,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,92,0.9999166586547379,-0.01291029607500882,0,0,1,0,0,0,0,0,0,0,0,0,0,332.4749318870227
2025-04-02,Store_A,Clothing,North,2025,4,2,2,14,2,0,0,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,92,0.9999166586547379,-0.01291029607500882,0,1,2,0,0,0,0,0,0,0,0,0,0,332.4749318870227
2025-04-02,Store_A,Home & Garden,East,2025,4,2,2,14,2,0,0,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,92,0.9999166586547379,-0.01291029607500882,0,2,0,0,0,0,0,0,0,0,0,0,0,330.7261999751491
2025-04-02,Store_A,Sports,North,2025,4,2,2,14,2,0,0,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,92,0.9999166586547379,-0.01291029607500882,0,3,2,0,0,0,0,0,0,0,0,0,0,319.8229658786688
2025-04-02,Store_A,Food & Beverages,West,2025,4,2,2,14,2,0,0,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,92,0.9999166586547379,-0.01291029607500882,0,4,1,0,0,0,0,0,0,0,0,0,0,316.7324048146607
2025-04-02,Store_B,Electronics,East,2025,4,2,2,14,2,0,0,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,92,0.9999166586547379,-0.01291029607500882,1,0,0,0,0,0,0,0,0,0,0,0,0,329.0299723047819
2025-04-02,Store_B,Clothing,South,2025,4,2,2,14,2,0,0,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,92,0.9999166586547379,-0.01291029607500882,1,1,3,0,0,0,0,0,0,0,0,0,0,330.28182019785805
